ဟုတ်ကဲ့	hoke-keh — yes
မဟုတ်ဘူး	ma-hoke-phu — no
ကျွန်တော်/ကျွန်မ	kya-naw / kya-ma — I (male/female)
ခင်ဗျား/ရှင်	khin-bya / shin — you (male/female speaker)
ကျေးဇူးပြု၍	kyay-zu pyu-ywe — please
ခဏ	kha-na — a moment
ကျန်းမာရဲ့လား	kyan-ma yeh-lar — Are you well?
အားလုံးကောင်းလား	a-lone kaung-lar — Is everything okay?
နာမည်	nan-meh — name
နိုင်ငံ	nine-ngan — country
မြန်မာ	myan-mar — Myanmar/Burmese
နိုင်ငံခြား	nine-ngan-jar — foreign
နိုင်ငံခြားသား	nine-ngan-jar-thar — foreigner
မြို့	myo — town/city
အိမ်	ain — house
ဒေသ	day-tha — region
တစ်	tit — one
နှစ်	hnit — two
သုံး	thone — three
လေး	lay — four
ငါး	ngar — five
ခြောက်	chauk — six
ခုနစ်	khun-nit — seven
ရှစ်	shit — eight
ကိုး	ko — nine
တစ်ဆယ်	ta-sae — ten
တနင်္ဂနွေ	ta-nin-ga-nway — Sunday
တနင်္လာ	ta-nin-la — Monday
အင်္ဂါ	in-ga — Tuesday
ကြာသပတေး	kya-tha-ba-day — Thursday
သောကြာ	thauk-kya — Friday
အဖေ	a-phay — father
အမေ	a-may — mother
အစ်ကို	a-ko — older brother
အစ်မ	a-ma — older sister
ညီ	nyi — younger brother
ညီမ	nyi-ma — younger sister
ဇနီး	za-ni — wife
ခင်ပွန်း	khin-pun — husband
အနီရောင်	a-ni-yaung — red
အပြာရောင်	a-pyar-yaung — blue
အစိမ်းရောင်	a-sein-yaung — green
အဖြူရောင်	a-phyu-yaung — white
ကြီး	kyi — big
ငယ်	nge — small
ကောင်း	kaung — good
ဆိုး	hso — bad
ပူ	pu — hot
အေး	ay — cold
နွေး	nway — warm
စိုစွတ်	so-sote — damp
စား	sar — eat
သောက်	thauk — drink
သွား	thwar — go
လာ	la — come
အိပ်	eik — sleep
နိုး	no — wake up
အနားယူ	a-nar-yu — rest
အလုပ်	a-lote — work
ဟင်းချို	hin-cho — soup
ထမင်း	hta-min — rice
ရေ	yay — water
ဘေး	bay — the bill
ဈေး	zay — price/market
စျေးနှုန်း	zay-hnone — the price
လျှော့	shaw — discount
ငွေ	ngway — money
ကုန်	kone — goods
ဆိုင်	hsaing — shop
အသစ်	a-thit — new
အဟောင်း	a-haung — old (used)
ဘယ်ဘက်	beh-bet — left
ညာဘက်	nyar-bet — right
ရှေ့	shay — in front / straight ahead
အနီး	a-ni — near
ကား	kar — car
တက္ကစီ	tuk-si — taxi
ဘတ်စ်ကား	bus-kar — bus
ဘူတာ	bu-da — station
အခန်း	a-khan — room
ညစာ	nya-za — dinner
မနက်စာ	ma-net-sa — breakfast
ကီး	ki — key
လေဆိပ်	lay-hzait — airport
နိုင်ငံကူးလက်မှတ်	nine-ngan-ku-let-hmat — passport
အိတ်	eik — bag
ခရီးသည်	kha-yi-thi — passenger/traveler
မိုး	mo — rain
နေ	nay — sun
လေ	lay — wind
ရာသီဥတု	yar-thi-u-du — weather/season
ခေါင်း	gaung — head
ဗိုက်	bite — stomach
လက်	let — hand/arm
ခြေ	chay — leg/foot
ပျော်	pyaw — happy
စိတ်ညစ်	seik-nyit — upset
ပင်ပန်း	pin-ban — tired
စိတ်လှုပ်ရှား	seik-hlote-shar — excited
လှ	hla — pretty/beautiful
စိတ်ဝင်စား	seik-win-sar — interesting
ငြိမ်	nyein — calm/quiet
နေရာ	nay-ya — place
မနက်ဖြန်	ma-net-phyan — tomorrow
ဒီနေ့	di-nay — today
မနေ့က	ma-nay-ga — yesterday
အားတယ်	a-deh — to be free (available)
အလုပ်	a-lote — job/work
ကုမ္ပဏီ	kone-pa-ni — company
ကျောင်း	kyaung — school
ဆရာ/ဆရာမ	hsa-ya / hsa-ya-ma — teacher (m/f)
စာဖတ်	sa-phat — read
ဂီတ	gi-ta — music
ကစား	ga-zar — play (a game/sport)
ရုပ်ရှင်	yote-shin — movie
ဖုန်း	phone — phone
အင်တာနက်	internet — internet
စာတိုပို့	sa-to-po — send a text
ခေါ်	khaw — call
စောင့်	saung — wait
ကူညီ	ku-nyi — help
ခွင့်ပြု	khwin-pyu — allow/permit
နားလည်	nar-lay — understand
ဆေးရုံ	hsay-yone — hospital
ရဲ	yeh — police
အန္တရာယ်	an-da-yeh — danger
အရေးပေါ်	a-yay-baw — emergency
အမှား	a-hmar — mistake
ခွင့်လွှတ်	khwin-hlute — forgive
နောက်တစ်ခါ	nauk-ta-kha — next time
ကိစ္စမရှိပါဘူး	keik-sa ma-shi ba-phu — no problem
နှုတ်ဆက်	hnoke-set — to say goodbye
ပြန်တွေ့မယ်	pyan-twe-meh — see you later
ငါးဆယ့်သုံး	ngar-seh-thone — fifty-three (bonus number!)
ကျေးဇူးအများကြီး	kyay-zu a-myar-kyi — thank you so much
